,Open,High,Low,Close,Volume,Change,com_name,com_code,vol_mean_60,vol_std_60,vol_bolin_check,mean_60,std_60,bolin_check,inverse_hammer_candle,high_246,ma_5,vel_5,ma_20,vel_20,ma_60,vel_60,earning_max_20,earning_min_20,golden_cross,pump_date,pmp_close_max_date_20,pmp_close_max_from_date_20,dump_date,pmp_Open,pmp_High,pmp_Low,pmp_Close,pmp_Volume,pmp_Change,pmp_high_246,pmp_ma_5,pmp_vel_5,pmp_ma_20,pmp_vel_20,pmp_ma_60,pmp_vel_60,pmp_earning_max_20,pmp_earning_min_20,dump_period,trading_value,average_price,average_price_to_Close
1,76300,80200,76200,79300,182663,0.04617414248021112,롯데쇼핑,023530,51654.316666666666,31204.455207490402,True,72448.33333333333,2069.6754569841232,True,-70.96774193548387,102000.0,75500.0,1220.0,72175.0,340.0,72448.33333333333,110.0,,,False,2023-11-27,No pmp,No pmp,2023-11-08,79200.0,80800.0,79000.0,80700.0,51307.0,0.018939393939394034,102000.0,79860.0,300.0,77565.0,435.0,73936.66666666667,143.33333333334303,,,19,14405805600,78865.48233632428,-0.5
0,14740,15270,14590,14960,824752,0.014925373134328401,HDC현대산업개발,294870,249153.86666666667,187881.00351412344,True,11138.166666666666,1355.270304726012,True,-16.216216216216218,14850.0,14274.0,320.0,12811.5,210.5,11138.166666666666,80.66666666666606,,,False,2023-11-27,No pmp,No pmp,2023-11-22,15220.0,15390.0,15000.0,15270.0,444043.0,0.013271400132714106,15270.0,14952.0,262.0,13358.0,188.0,11379.333333333334,83.66666666666788,,,5,12380223990,15010.844459910373,0.3
3,20600,21000,20100,20450,313295,-0.007281553398058249,대상,001680,97267.9,42143.74483883187,True,18681.5,759.9996097226312,True,-20.0,23050.0,20186.0,114.0,19586.5,73.5,18681.5,47.83333333333212,,,False,2023-11-27,No pmp,No pmp,2023-11-07,20650.0,21750.0,20600.0,21050.0,928420.0,0.031862745098039325,23050.0,20550.0,130.0,20348.0,69.5,19253.833333333332,46.66666666666424,,,20,6438647950,20551.390702053974,0.5
9,4910,5880,4880,5170,27056075,0.09766454352441611,국제약품,002720,2308057.066666667,8000556.662703695,True,4138.083333333333,465.8026530429975,True,144.82758620689654,6704.0,4914.0,20.0,4409.5,74.0,4138.083333333333,19.33333333333303,,,False,2023-11-27,No pmp,No pmp,2023-11-07,5070.0,6090.0,4890.0,5950.0,9533084.0,0.26326963906581735,6704.0,5019.0,215.0,5099.5,30.5,4388.833333333333,30.83333333333303,,,20,145969581305,5395.076015460483,4.4
0,65500,74100,65300,70700,172306,0.10468750000000004,툴젠,199800,15508.483333333334,11242.162454831476,True,65345.0,2857.901624428619,True,-37.03703703703704,166500.0,65480.0,1160.0,67065.0,55.0,65345.0,105.0,-0.4243281471004243,-15.841584158415841,False,2023-11-27,No pmp,No pmp,2022-08-04,65400.0,76400.0,65300.0,75500.0,254175.0,0.17601246105919,73200.0,65700.0,2500.0,51120.0,2077.5,39664.166666666664,666.6666666666642,,,480,12195891900,70780.42494167354,0.1
3,70000,74700,68100,69900,114550,-0.011315417256011262,툴젠,199800,18026.6,23153.571061979226,True,65436.666666666664,2914.7181546249776,True,147.36842105263156,166500.0,66600.0,1120.0,67035.0,-30.0,65436.666666666664,91.66666666666424,0.7153075822603719,-16.88125894134478,False,2023-11-27,No pmp,No pmp,2022-08-05,65400.0,76400.0,65300.0,75500.0,254175.0,0.17601246105919,73200.0,65700.0,2500.0,51120.0,2077.5,39664.166666666664,666.6666666666642,,,479,8197482700,71562.48537756439,2.4
1,64600,69000,61000,63000,717810,0.01941747572815533,툴젠,199800,73848.05,141083.9013295049,True,37187.5,7508.879630483137,True,22.22222222222222,67900.0,53670.0,2460.0,42007.5,1815.0,37187.5,454.16666666666424,,,False,2023-11-27,No pmp,No pmp,2023-11-20,65400.0,76400.0,65300.0,75500.0,254175.0,0.17601246105919,73200.0,65700.0,2500.0,51120.0,2077.5,39664.166666666664,666.6666666666642,,,7,46476132400,64747.12305484738,2.8
11,5680,6000,5550,5660,9287606,0.005328596802841812,우리기술투자,041190,1239976.45,2321833.108305639,True,4355.0,427.2309342575064,True,146.15384615384613,10200.0,5022.0,233.0,4246.25,96.25,4355.0,20.16666666666697,1.2367491166077738,-19.52296819787986,False,2023-11-27,No pmp,No pmp,2023-01-26,5820.0,6190.0,5780.0,6010.0,4657988.0,0.045217391304347876,6040.0,5688.0,108.0,5097.25,81.75,3992.0833333333335,42.833333333333485,,,305,53539373790,5764.6043329142085,1.8
2,8830,10310,8720,10130,5754834,0.15507411630558732,NHN KCP,060250,162709.13333333333,184639.27077793397,True,8522.166666666666,430.88828890326766,True,-87.2340425531915,15550.0,9014.0,324.0,8711.0,101.0,8522.166666666666,21.83333333333212,,,False,2023-11-27,No pmp,No pmp,2023-11-24,10130.0,11820.0,10130.0,11150.0,5552406.0,0.10069101678183623,15550.0,9504.0,490.0,8863.0,152.0,8559.166666666666,37.0,,,3,56776366400,9865.856495600046,-2.6
4,25700,28000,25700,27650,1430587,0.0737864077669903,에이디테크놀로지,200710,352978.4166666667,289118.9323530366,True,23457.5,1495.213408043653,True,-82.05128205128204,29300.0,25820.0,650.0,24555.0,222.5,23457.5,106.66666666666788,,,False,2023-11-27,No pmp,No pmp,2023-11-24,27950.0,29850.0,27850.0,29500.0,2060844.0,0.06690777576853524,29300.0,26770.0,950.0,24862.5,307.5,23597.5,140.0,,,3,39183573350,27389.856995764676,-0.9
9,2100,2645,2045,2645,4487101,0.2997542997542997,깨끗한나라,004540,29954.166666666668,15923.334438635373,True,2054.9666666666667,141.20017845433298,True,-100.0,3335.0,2101.2,146.79999999999973,1979.8,37.25,2054.9666666666667,6.583333333333485,,,False,2023-11-27,No pmp,No pmp,2023-11-24,3100.0,3435.0,2700.0,2700.0,14488694.0,0.020793950850661602,3335.0,2258.0,156.80000000000018,2019.25,39.450000000000045,2062.4666666666667,7.5,,,3,11167470165,2488.7940264772287,-5.9
13,7440,8370,7310,8050,452447,0.10425240054869689,모두투어리츠,204210,60433.0,83327.96864381779,True,4919.75,858.9624333254748,True,-56.75675675675676,7370.0,6854.0,406.0,5919.0,167.0,4919.75,66.83333333333303,,,False,2023-11-27,No pmp,No pmp,2023-11-24,8700.0,10090.0,8360.0,9810.0,598297.0,0.2186335403726709,8370.0,7602.0,748.0,6169.0,250.0,5016.0,96.25,,,3,3559828790,7867.946499811028,-2.3
18,9100,10540,8200,10540,1935216,0.29963008631319354,덕성우,004835,90405.06666666667,165355.99920273607,True,5729.75,1078.4929162223634,True,-100.0,13800.0,6889.0,1164.0,5248.25,287.5,5729.75,56.33333333333303,,,False,2023-11-27,No pmp,No pmp,2023-11-24,11790.0,13700.0,10640.0,13700.0,2483207.0,0.2998102466793169,13800.0,8678.0,1789.0,5693.25,445.0,5840.583333333333,110.83333333333303,,,3,19027037510,9831.996795189787,-6.7
6,24950,28900,24750,28900,3487457,0.18930041152263377,에이디테크놀로지,200710,391197.75,547323.286510665,True,20390.833333333332,2421.4285541675326,True,-100.0,27250.0,25610.0,720.0,22989.5,493.0,20390.833333333332,160.66666666666424,-4.498269896193772,-23.01038062283737,False,2023-11-27,No pmp,No pmp,2023-07-20,27950.0,29850.0,27850.0,29500.0,2060844.0,0.06690777576853524,29300.0,26770.0,950.0,24862.5,307.5,23597.5,140.0,,,130,95360350900,27343.806934393742,-5.4
23,5790,6600,5720,6080,26613007,0.07992895204262873,제주반도체,080220,3461555.9833333334,6967189.186500034,True,4570.166666666667,558.4830897904654,True,44.44444444444444,6180.0,5580.0,206.0,5092.25,66.25,4570.166666666667,42.25,-3.618421052631579,-21.38157894736842,False,2023-11-27,No pmp,No pmp,2023-03-30,6370.0,7400.0,6310.0,6910.0,25052153.0,0.11631663974151851,6600.0,5896.0,336.0,5030.5,141.25,4504.083333333333,44.75,,,242,165587864780,6222.065202177266,2.3
7,5390,6340,5340,5900,25542769,0.10280373831775691,제주반도체,080220,1408210.5,3604577.997280532,True,4426.25,407.9980319410718,True,-21.428571428571427,6600.0,5354.0,168.0,4782.75,94.5,4426.25,26.91666666666697,,,False,2023-11-27,No pmp,No pmp,2023-11-23,6370.0,7400.0,6310.0,6910.0,25052153.0,0.11631663974151851,6600.0,5896.0,336.0,5030.5,141.25,4504.083333333333,44.75,,,4,153532603550,6010.8049972968865,1.9
4,1221,1340,1221,1254,5510608,0.04412989175686932,아센디오,012170,699252.7833333333,1215361.3871081,True,827.8833333333333,130.0371643956684,True,160.6060606060606,1245.0,1144.2,50.799999999999955,966.15,23.699999999999932,827.8833333333333,6.25,1.036682615629984,-23.046251993620416,False,2023-11-27,No pmp,No pmp,2023-09-26,1306.0,1436.0,1306.0,1420.0,3289812.0,0.08895705521472386,1495.0,1313.8,38.799999999999955,1164.95,13.650000000000091,1090.0,11.083333333333258,,,62,7110814447,1290.3865502681374,2.9
9,11520,13830,11520,12770,8222773,0.1577515865820489,마이크로컨텍솔,098120,190991.96666666667,341424.14399771974,True,8879.833333333334,1029.4008322545228,True,-15.2,11390.0,9734.0,898.0,8800.0,214.0,8879.833333333334,92.83333333333394,,,False,2023-11-27,No pmp,No pmp,2023-11-16,12880.0,14330.0,12700.0,14070.0,1452383.0,0.09494163424124524,14650.0,12926.0,204.0,10376.5,285.5,9519.833333333334,105.83333333333394,,,11,107347647130,13054.920417966056,2.2
9,4675,5680,4455,5020,7122493,0.14874141876430214,비상교육,100220,163801.08333333334,557938.7910580318,True,4366.75,211.48150738592653,True,16.8141592920354,7890.0,4451.0,147.0,4271.75,43.5,4366.75,11.91666666666697,,,False,2023-11-27,No pmp,No pmp,2023-11-21,5760.0,6520.0,5460.0,5770.0,8336245.0,0.03776978417266186,7890.0,5434.0,280.0,4555.75,83.75,4450.166666666667,24.75,,,6,38282451455,5374.866841567973,7.1
43,15100,16030,15100,15450,50615,0.023178807947019875,대상우,001685,1728.15,1972.9530806587943,True,15118.5,95.34638013008899,True,65.71428571428571,18300.0,15136.0,62.0,15153.0,15.0,15118.5,-1.0,3.2362459546925564,-6.472491909385113,False,2023-11-27,No pmp,No pmp,2023-06-07,14700.0,18500.0,14530.0,17620.0,962245.0,0.2236111111111112,16550.0,15018.0,656.0,14328.0,179.5,13952.333333333334,68.66666666666788,,,173,793072130,15668.717376271856,1.4
30,15700,16160,15480,15950,42892,0.016571064372211675,대상우,001685,3004.75,7023.310571028815,True,15154.833333333334,180.96250821385811,True,-55.319148936170215,17300.0,15656.0,100.0,15255.5,37.5,15154.833333333334,14.33333333333394,-0.3761755485893417,-12.789968652037617,False,2023-11-27,No pmp,No pmp,2023-06-14,14700.0,18500.0,14530.0,17620.0,962245.0,0.2236111111111112,16550.0,15018.0,656.0,14328.0,179.5,13952.333333333334,68.66666666666788,,,166,680438380,15863.992819173738,-0.5
24,9060,11250,9050,9990,2290175,0.13009049773755654,덕성우,004835,28242.95,133336.6474826531,True,7187.666666666667,506.65191028441717,True,34.04255319148936,32050.0,7982.0,578.0,7067.0,154.5,7187.666666666667,42.16666666666697,-15.915915915915916,-39.73973973973974,False,2023-11-27,No pmp,No pmp,2022-09-21,11790.0,13700.0,10640.0,13700.0,2483207.0,0.2998102466793169,13800.0,8678.0,1789.0,5693.25,445.0,5840.583333333333,110.83333333333303,,,432,23955339010,10460.047380658683,4.7
18,9150,11700,7590,8050,3977722,-0.257380073800738,덕성우,004835,111192.33333333333,438619.1601355589,True,5662.916666666667,944.5549986544279,True,63.46153846153846,11250.0,7766.0,670.0,5601.25,143.0,5662.916666666667,39.66666666666697,36.39751552795031,-21.11801242236025,False,2023-11-27,No pmp,No pmp,2023-08-04,11790.0,13700.0,10640.0,13700.0,2483207.0,0.2998102466793169,13800.0,8678.0,1789.0,5693.25,445.0,5840.583333333333,110.83333333333303,,,115,37418532120,9407.025458289945,16.9
15,2620,3075,2450,3000,3450171,0.24740124740124747,하나머스트7호스팩,372290,0.0,0.0,True,2414.9166666666665,76.81416969979153,True,-86.36363636363636,2470.0,2524.0,119.0,2434.75,29.75,2414.9166666666665,9.916666666666515,,,False,2023-11-27,No pmp,No pmp,2023-11-10,2970.0,3500.0,2960.0,3340.0,972680.0,0.13412563667232602,3160.0,2868.0,155.0,2656.25,46.75,2488.75,15.583333333333485,,,17,9708251350,2813.8464296407337,-6.2
